Player Name,Score,Time,Character
f,1,30,Mickey
o,7,30,Goku
test1,17,30,Goku
test2,27,30,fox
fleur,18,30,Mickey
ryu,25,30,Goku
rayan,24,30,Chien
oki,22,30,Mickey
loulou,28,30,fox
ryu1,11,30,Goku
rayana,31,30,fox
ryu1,11,30,Goku
rayana,31,30,fox
fleur,35,30,Chat
oceane,24,30,Mickey
rayan,33,30,fox
FLEUR,25,30,Chien
RYU,29,30,Chat
maman,24,30,Mickey
papa,34,30,Goku
apple,29,30,Chat
samsung,32,30,fox
mickey,26,30,Mickey
goku,38,30,Goku
minnie,25,30,Mickey
mickey,48,30,Chat
minnie,25,30,Mickey
mickey,48,30,Chat
ryu,73,30,Goku
f,35,30,Chien
fleur,27,30,Chat
oce,38,30,Mickey
Fleur,27,30,Mickey
Minnie,36,30,Goku
ryu,22,30,Chat
brian,47,30,fox
"toto",18,30,Chien
fleur,28,30,fox
"toto",18,30,Chien
fleur,28,30,fox
"toto",98,30,Chat
toto,157,30,Goku
